,0,1,2,3,4,5,6,7,8,9
0,1,1,7,1,5,8,12,6,18,1
1,1,7,3,3,15,7,10,16,17,4
2,2,2,12,4,9,6,1,5,17,5
3,2,18,2,17,16,4,13,1,3,19
4,3,1,2,12,10,16,1,6,1,18
5,5,1,12,3,8,1,10,5,1,11
6,5,7,16,2,2,7,10,1,2,1
7,5,16,4,4,2,1,13,1,16,1
8,10,4,2,19,7,7,2,2,10,1
9,10,5,3,9,1,2,6,18,1,7
10,12,13,15,1,9,1,6,2,19,5
11,12,14,4,8,11,7,1,3,11,2
12,13,5,17,7,5,7,18,1,2,4
13,14,13,5,1,13,11,3,9,8,3
14,14,18,4,2,5,4,4,1,15,2
15,15,3,2,3,4,12,3,8,2,17
16,15,8,3,7,6,5,4,17,2,18
17,15,19,1,11,16,18,4,5,8,1
18,17,1,1,17,3,16,3,14,6,3
19,17,1,8,1,4,1,1,1,9,18
20,18,6,1,13,4,3,9,14,1,4
21,18,14,1,3,6,19,8,12,2,15
22,18,15,1,1,15,2,19,14,11,19
