Name,OEW,MTOM,Mpl,Mwing,Mfus,Mhstab,b,AR,S,S/W,cbar
LS 4a,246,525,279,130,110,6,15,21.7,10.35,318,0.69
SB 12,217,450,233,117,93,7,15,22.5,10.02,300,0.67
Falcon,254,450,196,137,110,7,15,21.1,10.66,316,0.71
DG 300,245,525,280,125,113,7,15,21.8,10.3,319,0.69
ASK 23,233,380,147,130,91,12,15,17.4,12.9,246,0.86
Discus B,246,525,279,120,120,6,15,21.3,10.58,311,0.71
ASW 24,227,500,273,114,106,7,15,22.5,10,311,0.67
LS 7,232,486,254,120,104,7,15,23,9.8,322,0.65
AK-5,278,485,207,133,138,7,15,21.1,10.66,339,0.71
DIscus 2b,245,525,280,128,110,7,15,22.1,10.16,323,0.68
L33 Solo,210,340,130,110,96,8,14.12,26.7,11,267,0.78
